client_id,product_id,risk_score,priority_score,risk_level,priority_level,inactivity_score,inactivity_ratio,expected_cycle_days,days_since_last_order,is_inactive,volume_drift_score,interval_drift_score,peer_drift_score,potential_gap,drift_signal_count,peer_avg_growth,peer_avg_similarity,peer_group_type,client_product_embedding_cosine,client_product_preference_gap
36492,5108,0.21846986936367468,0.21846986936367468,low,low,0.05333333333333333,0.13333333333333333,45.0,6,False,0.0,0.9856826801517067,0.0,0.0,1,-0.18065837463187115,0.9829935034043399,embedding_weighted,0.8424308825191171,6.650311867842019
1000075255,5099,0.3594637859000205,0.3594637859000205,medium,low,0.06222222222222222,0.15555555555555556,45.0,7,False,0.5666666666666667,0.9645411517223244,0.0,0.0,2,-0.06001308358556813,0.9991874292025833,embedding_weighted,0.7899668500404727,0.25314161791279943
31366,5099,0.5996415494314897,0.5996415494314897,medium,medium,1.0,3.2222222222222223,45.0,145,True,0.0,0.9982077471574484,0.0,0.0,1,-0.039953119176253715,0.998173510040442,embedding_weighted,0.7176506846451414,4.686670978780442
1000068305,5099,0.5999302739922323,0.5999302739922323,medium,medium,1.0,5.0,45.0,395,True,0.0,0.9996513699611611,0.0,0.0,1,-0.19017039720397014,0.9964305804941958,embedding_weighted,0.7789776585015592,1.8820284349851555
36492,5099,0.23409733424143575,0.23409733424143575,low,low,0.08888888888888888,0.2222222222222222,45.0,10,False,0.0,0.9927088934294009,0.0,0.0,1,-0.11981015858665532,0.9876783716432604,embedding_weighted,0.8590121806934389,-1.221775746059146
36492,5107,0.5675653302747685,0.5675653302747685,medium,medium,0.11555555555555555,0.28888888888888886,45.0,13,False,0.8411764705882352,0.9906161928951671,0.7528383455096936,0.0,3,-0.05977640972398634,0.9822806509112785,embedding_weighted,0.8304861724355059,7.238012161910076
1000080460,5099,0.2976479114497415,0.2976479114497415,low,low,0.24888888888888888,0.6222222222222222,45.0,28,False,0.0,0.9904617794709296,0.0,0.0,1,-0.11999843143719104,0.9985374543342417,embedding_weighted,0.7835807510870688,2.189154607577569
1000075177,5099,0.47312511461198636,0.47312511461198636,medium,medium,0.6844444444444444,1.711111111111111,45.0,77,True,0.0,0.9967366841710428,0.0,0.0,1,-0.08018024345899326,0.9920619813861774,embedding_weighted,0.7759289617352803,-2.437602512999792
36492,5103,0.21387040087863812,0.21387040087863812,low,low,0.05333333333333333,0.13333333333333333,45.0,6,False,0.0,0.9626853377265239,0.0,0.0,1,-0.16049091644494387,0.9824766183473695,embedding_weighted,0.8680183847719828,6.5152061316600545
25307,5099,0.5660689977334957,0.5660689977334957,medium,medium,0.12444444444444444,0.3111111111111111,45.0,14,False,0.8411752587231062,0.9785185185185185,0.7352913438082515,0.0,3,-0.10000161422542016,0.9999955132057152,embedding_weighted,0.9993104800340846,1.7352532210123552
1000060942,5099,0.23247367655098905,0.23247367655098905,low,low,0.08888888888888888,0.2222222222222222,45.0,10,False,0.0,0.9845906049771673,0.0,0.0,1,-0.03999927273613093,0.9999634572890634,embedding_weighted,0.9969335565981887,-1.4692830965361239
11999,5100,0.6096992209726063,5.716460165303663,high,critical,0.16,0.4,45.0,18,False,0.8919999386576766,0.9954102024152305,0.8241146388342736,4340.039999999994,3,-0.080504637096667,0.982185735420188,embedding_weighted,0.5734863786007608,10.227288884768589
40897,5099,0.6654748492826977,0.6654748492826977,high,medium,0.29333333333333333,0.7333333333333333,45.0,33,False,0.8999999999999999,0.9935678695455231,0.8295196136017317,0.0,3,-0.12013338795715173,0.993584992456158,embedding_weighted,0.6137057783820238,1.076423576490777
1000079674,5099,0.5997702166365542,0.5997702166365542,medium,medium,1.0,5.0,45.0,264,True,0.0,0.9988510831827704,0.0,0.0,1,-0.12004630093945594,0.9988006569532574,embedding_weighted,0.7712190552213154,3.4618570013062806
29795,5099,0.5123593796170545,0.5123593796170545,medium,medium,0.7822222222222222,1.9555555555555555,45.0,88,True,0.0,0.997352453640828,0.0,0.0,1,-0.2301430932389544,0.9964180914191623,embedding_weighted,0.7641648391336895,2.0844765236147396
1000068212,5099,0.44440373551684464,0.44440373551684464,medium,medium,0.6133333333333334,1.5333333333333334,45.0,69,True,0.0,0.9953520109175563,0.0,0.0,1,-0.02394023872732103,0.9966539303370243,embedding_weighted,0.5903230716875856,1.0549893442691172
42046,5115,0.40651309975856276,0.40651309975856276,medium,medium,0.1688888888888889,0.4222222222222222,45.0,19,False,0.5666808952633002,0.9864366019359105,0.0,0.0,2,-0.07998909605711436,0.986233521285448,embedding_weighted,0.9188594425100894,1.13736136787632
