product_id,analytic_block,category,family,product_total_revenue,product_total_units,product_frequency,rolling_sales_30d,product_growth_30d,product_return_rate,product_customer_count,product_embedding_0,product_embedding_1,product_embedding_2,product_embedding_3
5099,Productos Técnicos,Categoria T1,Familia T1,15701440.77,58709,337.77594728171334,180972.14,-0.3559203308103826,0.024142808369506902,2902,0.3386210941268276,0.6055599036801795,-0.060374091884339474,0.019781121661259164
4566,Commodities,Categoria C1,Familia C1,14830620.93,152120,470.2965403624382,235849.27759999988,-0.27068660151154444,0.014432339650401093,4315,0.5291692278037132,-0.31420803744744463,-0.2659351365643088,0.1422995417858816
5115,Productos Técnicos,Categoria T1,Familia T2,7758361.06,18130,167.2158154859967,57555.97,-0.5895710224839694,0.048866995073891625,1858,0.2313897976854824,0.44625975383854166,-0.03233583036261282,-0.03278422064403023
4565,Commodities,Categoria C1,Familia C1,7032034.55,72199,228.15485996705107,116197.01,-0.288669810149535,0.011986425012636292,2411,0.2845625571397267,-0.13401755358121809,0.049366101549377636,0.7997596094315984
3408,Commodities,Categoria C1,Familia C1,6971152.31,112280,347.6112026359143,107715.31000000001,-0.20909682516967315,0.01720379146919431,3625,0.3961685147610081,-0.2657940359958499,-0.23863669785286543,-0.5556271537435726
4912,Commodities,Categoria C2,Familia C2,6083145.62,171193,220.1482701812191,86354.03,-0.19399567400751289,0.009803187906907132,1955,0.24371042481706348,-0.05396502563657901,0.6719338551145386,-0.11072047937414532
5103,Productos Técnicos,Categoria T1,Familia T1,4503464.07,5583,69.70345963756178,30789.63,-0.5690623347136847,0.008272276057669581,1130,0.13347937273680807,0.21373636479637892,-0.0570726939388673,-0.021369536092203455
5108,Productos Técnicos,Categoria T1,Familia T1,4054655.41,8046,79.48929159802306,48909.5,-0.41123206397231854,0.05450777202072539,1147,0.13784412834424825,0.2513027112247873,-0.05179475949506045,-0.040847010418987924
4911,Commodities,Categoria C2,Familia C2,3853944.47,50180,138.5352422907489,83793.67,-0.13926607857087187,0.016932983544001908,2007,0.2414563773360901,-0.057307349019540224,0.6252934032148674,-0.11080804436393067
4567,Commodities,Categoria C1,Familia C1,2533092.43,19757,155.33772652388797,46550.799999999996,-0.1623169680534236,0.016438646728179022,3570,0.3637099637130277,-0.21739625903337317,-0.11382106897588658,-0.05300480803146522
5107,Productos Técnicos,Categoria T1,Familia T1,2452041.04,4774,52.56198347107438,49430.380000000005,-0.08674552437513035,0.05157232704402516,911,0.1045775329924895,0.20226901190477747,-0.05104248064969687,-0.0032539800824961463
5100,Productos Técnicos,Categoria T1,Familia T1,1259429.45,6010,39.17627677100494,22647.879999999997,-0.2821641180315066,0.049201009251471826,450,0.047043664587719934,0.08527080052570676,-0.01090464392210667,0.0030587393514291557
5116,Productos Técnicos,Categoria T1,Familia T2,1224028.27,2062,24.31404958677686,18608.79,-0.4439402197494363,0.008837525492861998,499,0.05964048374808695,0.11102571434619209,-0.020737888048447943,-0.004251056728135357
5102,Productos Técnicos,Categoria T1,Familia T2,1172449.38,3156,30.358974358974358,27892.04,-0.43496328412552304,0.02364864864864865,509,0.05620421925813643,0.11398573488549589,-0.015601483104125959,-0.013050665999395056
5118,Productos Técnicos,Categoria T1,Familia T2,829433.12,1955,17.64218663721701,9233.31,-0.26824936539624405,0.004694835680751174,349,0.04089986433423571,0.06842031999677535,-0.0072606010093168895,-0.0020353433760427193
5112,Productos Técnicos,Categoria T1,Familia T2,660166.42,1740,19.584685269305645,11640.12,-0.36838051755645107,0.008946322067594433,248,0.0285999444697714,0.04840013749587959,-0.012942886859439083,0.009467075452545182
5119,Productos Técnicos,Categoria T1,Familia T2,479678.99,1373,11.552486187845304,13470.61,-0.24895530613093947,0.005738880918220947,227,0.02743565226788418,0.045532141255349844,-0.0024225057682738744,0.0016797966888731008
178,Commodities,Categoria C1,Familia C1,403306.0,3957,17.206611570247933,10535.6,0.057219451337531944,0.03650336215177714,277,0.022782035832606455,-0.0080767194666809,-0.00369362817745586,0.0010567380881940304
5105,Productos Técnicos,Categoria T1,Familia T1,373791.44,1237,11.639226914817465,8508.09,-0.5107729322563936,0.014760147601476014,166,0.018290936212230925,0.01904369676359538,-0.0004886003236565815,-0.001442057294230135
3399,Commodities,Categoria C1,Familia C1,317285.72,2181,21.974627688913404,9662.12,-0.4196689822966354,0.024096385542168676,574,0.04869807836885933,-0.010227728327826525,-0.008118226225833147,0.012512406959661803
5106,Productos Técnicos,Categoria T1,Familia T1,301683.49,1000,7.680268306316378,9019.46,-0.3071820515089831,0.015283842794759825,153,0.015763842823734504,0.023067068643640717,-0.002220192001145218,-0.00022206354477294625
5382,Productos Técnicos,Categoria T1,Familia T1,266705.77999999997,350,10.207792207792208,16531.47,-0.47441142032895645,0.0,138,0.0162109185208295,0.019170582072485804,-0.007924963570892968,-0.0025804785618259614
5117,Productos Técnicos,Categoria T1,Familia T2,123438.08,405,4.125835189309576,4518.849999999999,-0.6148676401567977,0.012145748987854251,107,0.009478712222280571,0.012760881150137442,-0.0022574241651471326,-0.0005362128244437359
5381,Productos Técnicos,Categoria T1,Familia T1,98961.5,355,7.41222366710013,8421.84,-0.46462955901373987,0.09473684210526316,111,0.010335896671419162,0.017915644817036783,-0.006681666203155049,0.0017656948235238903
5104,Productos Técnicos,Categoria T1,Familia T1,28154.82,111,1.108695652173913,3545.2747999999997,0.20916861305530143,0.0196078431372549,34,0.002911182656472187,0.002339154641536307,0.00036333008671541266,0.0009423192785684981
