client_id,postal_code,province,customer_total_revenue,customer_total_orders,customer_avg_ticket,customer_frequency,customer_frequency_log1p,days_since_last_order,is_active_customer,return_rate_30d,campaign_lift,coefficient_variation_30d,client_embedding_0,client_embedding_1,client_embedding_2,client_embedding_3
36492,31003.0,Navarra,438800.9,496,884.6792338709678,2.0,1.0986122886681098,6,True,0.0,0.07702025486691706,0.8647989625709398,18.074477840678654,10.50390751268444,-0.7659277693374495,-0.31810442806006545
1000060942,11402.0,Cádiz,205018.72,138,1485.6428985507246,2.0,1.0986122886681098,10,True,0.0,0.4122533752830873,0.5605385829295898,8.793204906360096,15.680438639849639,-2.5991600601595466,-0.46437010639738696
11999,15008.0,A Coruña,167343.97,399,419.4084461152882,2.0,1.0986122886681098,18,True,0.0,0.8468465577788317,0.4617086616962365,15.493967640128808,2.6284477866525178,3.714206917377365,2.734150192293041
27694,21003.0,Huelva,162178.02,152,1066.9606578947369,2.0,1.0986122886681098,17,True,0.0,0.32377141425845196,0.5413379493951957,19.111487553963553,7.085584967442231,-2.104626022331594,-3.010310073788216
36639,8007.0,Barcelona,160470.23,140,1146.2159285714285,2.0,1.0986122886681098,19,True,0.0,0.7122174610316612,0.33625898535550935,19.803217480490407,10.179749363168684,-7.397707375962555,-5.739452711720564
40897,3007.0,Alicante,154219.83,128,1204.842421875,2.0,1.0986122886681098,33,True,0.0,-0.12333281103624863,0.11561666497322731,22.83376068637041,3.809798187361018,1.3253888134697758,3.5373509299351933
1000068212,28860.0,Madrid,152953.23,129,1185.6839534883723,2.0,1.0986122886681098,12,True,0.0,1.5670022822534382,0.41121819673360105,22.25668588339295,4.831747434480293,6.064954371254793,-5.790958378037848
4767,28047.0,Madrid,151023.96,164,920.8778048780488,2.0,1.0986122886681098,24,True,0.0,0.5253375264383641,1.3160063078200248,17.930864958376315,10.480322558089442,1.5489514292202664,-7.228367284338087
38978,28002.0,Madrid,143462.55,152,943.8325657894736,2.0,1.0986122886681098,14,True,0.0,-0.27911673476919724,0.7617434286705632,23.97922738898662,4.565159563325876,5.833044174167719,-1.778815642047328
42046,28915.0,Madrid,139804.55,73,1915.1308219178081,1.3153153153153154,0.8395458835828857,19,True,0.0,-0.23267778877262735,0.5189738023243089,14.208970084616013,14.840310397059044,-3.888495958610604,4.2473242508041364
11156,0.0,,138869.09,64,2169.82953125,1.5686274509803924,0.9433716904768259,580,False,0.0,0.2731417537000244,0.0,9.202590995931908,16.78953040576907,-2.2797244422804828,-0.46742584654232433
1000082069,11300.0,Cádiz,136652.06,97,1408.7841237113403,1.7229129662522202,1.0017022507321238,24,True,0.0,-0.36953028958558615,0.3517978185831053,16.25531440543707,10.182923225332388,-5.227117708416554,0.4161850773814246
27238,17230.0,Girona,135944.7,81,1678.3296296296298,1.3846153846153846,0.8690378470236095,24,True,0.0,-1.0,0.8963180716677766,21.603685513735808,11.730696207968226,1.0337101734051999,4.128579499879414
1000075255,46015.0,Valencia,135875.29,111,1224.1017117117117,1.8520578420467186,1.0480407835689405,7,True,0.0,-0.14148548869274516,0.6851931617939393,11.883915145151246,12.992462198288504,10.096944142323952,-2.2271742705750013
