client_id,date,product_category,product_type,postal_code,province,in_clients_master,client_master_conflict,has_category_potential,potential_value,potential_family_count,invoice_count,product_count,purchase_units,purchase_value,refund_units,refund_value,signed_units,signed_value,refund_row_count,non_purchase_signal_count,campaign,is_campaign_period
100,2021-02-11,Categoria C2,commodity,41400,Sevilla,True,False,True,6424.44,2,1,1,3,287.88,0,0.0,3,287.88,0,0,,False
100,2021-03-09,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,15,1446.72,0,0.0,15,1446.72,0,0,,False
100,2021-11-10,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,1102.26,0,0.0,10,1102.26,0,0,,False
100,2021-11-10,Categoria C2,commodity,41400,Sevilla,True,False,True,6424.44,2,1,1,6,611.73,0,0.0,6,611.73,0,0,,False
100,2022-02-17,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,1033.38,0,0.0,10,1033.38,0,0,,False
100,2022-07-21,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,1033.37,0,0.0,10,1033.37,0,0,,False
100,2023-01-26,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,1,5,567.71,0,0.0,5,567.71,0,0,,False
100,2023-04-03,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,1021.88,0,0.0,10,1021.88,0,0,,False
100,2023-06-06,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,851.57,0,0.0,10,851.57,0,0,,False
100,2024-01-26,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,15,1290.07,0,0.0,15,1290.07,0,0,,False
100,2024-05-02,Categoria T1,technical,41400,Sevilla,True,False,False,0.0,0,1,2,2,912.39,0,0.0,2,912.39,0,0,,False
100,2024-06-06,Categoria T1,technical,41400,Sevilla,True,False,False,0.0,0,1,1,1,526.61,0,0.0,1,526.61,0,0,,False
100,2024-07-31,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,12,1376.07,0,0.0,12,1376.07,0,0,,False
100,2024-12-05,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,3,5,605.28,0,0.0,5,605.28,0,0,,False
100,2024-12-05,Categoria T1,technical,41400,Sevilla,True,False,False,0.0,0,1,1,1,889.47,0,0.0,1,889.47,0,0,,False
100,2025-03-21,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,2,10,1063.02,0,0.0,10,1063.02,0,0,,False
100,2025-03-21,Categoria T1,technical,41400,Sevilla,True,False,False,0.0,0,1,1,1,1030.99,0,0.0,1,1030.99,0,0,,False
100,2025-05-21,Categoria C1,commodity,41400,Sevilla,True,False,True,2223.12,1,1,3,13,1411.53,0,0.0,13,1411.53,0,0,,False
1000036781,2021-02-15,Categoria C2,commodity,30820,Murcia,True,False,True,6424.44,2,1,1,3,287.88,0,0.0,3,287.88,0,0,,False
1000036781,2021-03-10,Categoria C2,commodity,30820,Murcia,True,False,True,6424.44,2,1,1,12,432.25,0,0.0,12,432.25,0,0,,False
