client_id,product_id,risk_score,priority_score,risk_level,priority_level,inactivity_score,inactivity_ratio,expected_cycle_days,days_since_last_order,is_inactive,volume_drift_score,interval_drift_score,peer_drift_score,potential_gap,drift_signal_count
36492,5108,0.21846986936367468,0.21846986936367468,low,low,0.05333333333333333,0.13333333333333333,45.0,6,False,0.0,0.9856826801517067,0.0,0.0,1
1000075255,5099,0.3594637859000205,0.3594637859000205,medium,low,0.06222222222222222,0.15555555555555556,45.0,7,False,0.5666666666666667,0.9645411517223244,0.0,0.0,2
31366,5099,0.5996415494314897,0.5996415494314897,medium,medium,1.0,3.2222222222222223,45.0,145,True,0.0,0.9982077471574484,0.0,0.0,1
1000068305,5099,0.5999302739922323,0.5999302739922323,medium,medium,1.0,5.0,45.0,395,True,0.0,0.9996513699611611,0.0,0.0,1
36492,5099,0.23409733424143575,0.23409733424143575,low,low,0.08888888888888888,0.2222222222222222,45.0,10,False,0.0,0.9927088934294009,0.0,0.0,1
36492,5107,0.5683115226946823,0.5683115226946823,medium,medium,0.11555555555555555,0.28888888888888886,45.0,13,False,0.8411764705882352,0.9906161928951671,0.7578129616424522,0.0,3
1000080460,5099,0.2976479114497415,0.2976479114497415,low,low,0.24888888888888888,0.6222222222222222,45.0,28,False,0.0,0.9904617794709296,0.0,0.0,1
1000075177,5099,0.47312511461198636,0.47312511461198636,medium,medium,0.6844444444444444,1.711111111111111,45.0,77,True,0.0,0.9967366841710428,0.0,0.0,1
36492,5103,0.21387040087863812,0.21387040087863812,low,low,0.05333333333333333,0.13333333333333333,45.0,6,False,0.0,0.9626853377265239,0.0,0.0,1
25307,5099,0.5668685211056125,0.5668685211056125,medium,medium,0.12444444444444444,0.3111111111111111,45.0,14,False,0.8411752587231062,0.9785185185185185,0.7406214996223629,0.0,3
1000060942,5099,0.23247367655098905,0.23247367655098905,low,low,0.08888888888888888,0.2222222222222222,45.0,10,False,0.0,0.9845906049771673,0.0,0.0,1
11999,5100,0.610190278869572,5.721064259929837,high,critical,0.16,0.4,45.0,18,False,0.8919999386576766,0.9954102024152305,0.8273883581473785,4340.039999999994,3
40897,5099,0.6663661962705019,0.6663661962705019,high,medium,0.29333333333333333,0.7333333333333333,45.0,33,False,0.8999999999999999,0.9935678695455231,0.835461926853759,0.0,3
1000079674,5099,0.5997702166365542,0.5997702166365542,medium,medium,1.0,5.0,45.0,264,True,0.0,0.9988510831827704,0.0,0.0,1
29795,5099,0.5123593796170545,0.5123593796170545,medium,medium,0.7822222222222222,1.9555555555555555,45.0,88,True,0.0,0.997352453640828,0.0,0.0,1
1000068212,5099,0.44440373551684464,0.44440373551684464,medium,medium,0.6133333333333334,1.5333333333333334,45.0,69,True,0.0,0.9953520109175563,0.0,0.0,1
42046,5115,0.40651309975856276,0.40651309975856276,medium,medium,0.1688888888888889,0.4222222222222222,45.0,19,False,0.5666808952633002,0.9864366019359105,0.0,0.0,2
1000080459,5099,0.26319883639008207,0.26319883639008207,low,low,0.1688888888888889,0.4222222222222222,45.0,19,False,0.0,0.9782164041726324,0.0,0.0,1
30870,5099,0.5343884079016188,6.260403777088173,medium,critical,0.16,0.4,45.0,18,False,0.7749989739436407,0.9907313997477931,0.5232825631076663,45028.88,3
30335,5099,0.3607378400070377,0.3607378400070377,medium,low,0.16,0.4,45.0,18,False,0.3999914161616508,0.9836999298331248,0.0,0.0,2
1000076771,5108,0.5999303288068756,0.5999303288068756,medium,medium,1.0,5.0,45.0,691,True,0.0,0.9996516440343778,0.0,0.0,1
4767,5099,0.5998738330164408,0.5998738330164408,medium,medium,1.0,5.0,45.0,398,True,0.0,0.9993691650822039,0.0,0.0,1
1000080175,5108,0.5999238009329045,0.5999238009329045,medium,medium,1.0,5.0,45.0,740,True,0.0,0.9996190046645224,0.0,0.0,1
1000060942,5100,0.5432607725643789,0.5432607725643789,medium,medium,0.08888888888888888,0.2222222222222222,45.0,10,False,0.8137917816257861,0.9880494298487968,0.7109825708841164,0.0,3
32845,5099,0.4927758497367777,5.374653833117494,medium,critical,0.06222222222222222,0.15555555555555556,45.0,7,False,0.7750234497133923,0.9781282945422106,0.5233695967406571,20067.240000000005,3
1430,5103,0.45839070541931576,0.45839070541931576,medium,medium,0.6488888888888888,1.6222222222222222,45.0,73,True,0.0,0.994175749318801,0.0,0.0,1
7000,5099,0.2819619448519251,0.2819619448519251,low,low,0.21333333333333332,0.5333333333333333,45.0,24,False,0.0,0.9831430575929587,0.0,0.0,1
26095,5099,0.23702757967569238,0.23702757967569238,low,low,0.11555555555555555,0.28888888888888886,45.0,13,False,0.0,0.9540267872673508,0.0,0.0,1
1000077509,5099,0.47308822481504437,0.47308822481504437,medium,medium,0.6844444444444444,1.711111111111111,45.0,77,True,0.0,0.9965522351863328,0.0,0.0,1
1000073983,5099,0.690610659888069,0.690610659888069,high,medium,0.3555555555555555,0.8888888888888888,45.0,40,False,0.8999999999999999,0.9903457431889152,0.835461926853759,0.0,3
7362,5099,0.525990793023855,0.525990793023855,medium,medium,0.1511111111111111,0.37777777777777777,45.0,17,False,0.7749999999999999,0.9665170844284889,0.5232862112914181,0.0,3
39951,5107,0.2961572843647415,0.2961572843647415,low,low,0.24888888888888888,0.6222222222222222,45.0,28,False,0.0,0.9830086440459295,0.0,0.0,1
42046,5103,0.7343952646005969,0.7343952646005969,high,high,0.4622222222222222,1.1555555555555554,45.0,52,False,0.8999999999999999,0.9915070774354704,0.8413664014974263,0.0,3
39038,5115,0.5998357926479712,0.5998357926479712,medium,medium,1.0,5.0,45.0,227,True,0.0,0.9991789632398558,0.0,0.0,1
39965,5099,0.2519941956119644,0.2519941956119644,low,low,0.14222222222222222,0.35555555555555557,45.0,16,False,0.0,0.9755265336153776,0.0,0.0,1
40897,5115,0.6663966488485008,0.6663966488485008,high,medium,0.29333333333333333,0.7333333333333333,45.0,33,False,0.8999999999999999,0.9919134135737495,0.837870885336117,0.0,3
38978,5115,0.5652389246691826,0.5652389246691826,medium,medium,0.12444444444444444,0.3111111111111111,45.0,14,False,0.8411764705882352,0.9659154182685934,0.746559637270849,0.0,3
29150,5099,0.25419905213270144,0.25419905213270144,low,low,0.1511111111111111,0.37777777777777777,45.0,17,False,0.0,0.9687730384412848,0.0,0.0,1
1000077135,5115,0.599737016354442,0.599737016354442,medium,medium,1.0,5.0,45.0,293,True,0.0,0.9986850817722097,0.0,0.0,1
1000064974,5099,0.5997611043969766,0.5997611043969766,medium,medium,1.0,5.0,45.0,402,True,0.0,0.998805521984883,0.0,0.0,1
33122,5119,0.23178249304799903,0.23178249304799903,low,low,0.09777777777777777,0.24444444444444444,45.0,11,False,0.0,0.9633569096844395,0.0,0.0,1
1000063806,5099,0.7482399105657951,0.7482399105657951,high,high,0.49777777777777776,1.2444444444444445,45.0,56,False,0.8999999999999999,0.9940475521331009,0.835461926853759,0.0,3
35886,5115,0.6621236189594985,0.6621236189594985,high,medium,0.28444444444444444,0.7111111111111111,45.0,32,False,0.8999999999999999,0.9883260419065162,0.837870885336117,0.0,3
36492,5100,0.21788342719414125,0.21788342719414125,low,low,0.05333333333333333,0.13333333333333333,45.0,6,False,0.0,0.9827504693040394,0.0,0.0,1
36612,5115,0.5998033571188196,0.5998033571188196,medium,medium,1.0,5.0,45.0,269,True,0.0,0.9990167855940977,0.0,0.0,1
11156,5099,0.5999100634845991,0.5999100634845991,medium,medium,1.0,5.0,45.0,580,True,0.0,0.9995503174229955,0.0,0.0,1
26122,5099,0.2610509371792794,0.2610509371792794,low,low,0.1688888888888889,0.4222222222222222,45.0,19,False,0.0,0.9674769081186192,0.0,0.0,1
4549,5115,0.6686746709753297,0.6686746709753297,high,medium,0.3022222222222222,0.7555555555555555,45.0,34,False,0.8999999999999999,0.9855257464301168,0.837870885336117,0.0,3
41964,5099,0.6831294986491474,0.6831294986491474,high,medium,0.3377777777777778,0.8444444444444444,45.0,38,False,0.8999999999999999,0.9884954925498621,0.835461926853759,0.0,3
255,5100,0.5402105589744491,0.5402105589744491,medium,medium,0.08888888888888888,0.2222222222222222,45.0,10,False,0.8172909809719159,0.9646260314080383,0.716047012628713,0.0,3
