client_id,family,product_category,potential_h,current_sales,potential_gap,capture_ratio
3,Anestesia,Categoria C1,2223.12,2530.12,-307.0,1.1380942099391846
26,Anestesia,Categoria C1,2223.12,1638.97,584.1499999999999,0.7372386555831445
30,Anestesia,Categoria C1,2223.12,5221.39,-2998.2700000000004,2.348676634639606
46,Anestesia,Categoria C1,4546.72,5772.46,-1225.7399999999998,1.2695877467712988
64,Anestesia,Categoria C1,2223.12,324.9,1898.2199999999998,0.14614595703335853
66,Anestesia,Categoria C1,3410.04,3084.46,325.5799999999999,0.9045231140983684
69,Anestesia,Categoria C1,2223.12,1984.76,238.3599999999999,0.8927813163481954
96,Anestesia,Categoria C1,3410.04,4291.88,-881.8400000000001,1.2586010721281862
100,Anestesia,Categoria C1,2223.12,12802.86,-10579.740000000002,5.758960380006478
109,Anestesia,Categoria C1,3410.04,16845.91,-13435.869999999999,4.9400916118286
118,Anestesia,Categoria C1,3410.04,3216.56,193.48000000000002,0.9432616626197933
119,Anestesia,Categoria C1,3410.04,19339.37,-15929.329999999998,5.671302975918171
123,Anestesia,Categoria C1,5683.4,9076.96,-3393.5599999999995,1.5971003272688884
132,Anestesia,Categoria C1,2223.12,5529.71,-3306.59,2.4873646046997013
142,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
148,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
149,Anestesia,Categoria C1,2223.12,1625.24,597.8799999999999,0.7310626506891217
163,Anestesia,Categoria C1,2223.12,836.4,1386.7199999999998,0.3762280038864299
171,Anestesia,Categoria C1,3410.04,4069.0,-658.96,1.193241135001349
188,Anestesia,Categoria C1,2223.12,3548.19,-1325.0700000000002,1.5960406995573788
191,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
200,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
231,Anestesia,Categoria C1,3410.04,785.44,2624.6,0.23033160901338404
238,Anestesia,Categoria C1,4546.72,7617.5199999999995,-3070.7999999999993,1.6753879719885982
255,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
258,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
290,Anestesia,Categoria C1,3410.04,3252.17,157.8699999999999,0.9537043553741306
300,Anestesia,Categoria C1,2223.12,3101.61,-878.4900000000002,1.3951608550145742
317,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
330,Anestesia,Categoria C1,2223.12,820.8,1402.32,0.36921083882111627
346,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
349,Anestesia,Categoria C1,2223.12,1493.65,729.4699999999998,0.6718710640901077
351,Anestesia,Categoria C1,5683.4,7100.89,-1417.4900000000007,1.2494088045888025
356,Anestesia,Categoria C1,2223.12,6848.23,-4625.11,3.0804589945661953
367,Anestesia,Categoria C1,3410.04,4571.87,-1161.83,1.3407086133886992
369,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
376,Anestesia,Categoria C1,3410.04,147.36,3262.68,0.04321356934229511
382,Anestesia,Categoria C1,2223.12,1526.73,696.3899999999999,0.6867510525747599
383,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
400,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
433,Anestesia,Categoria C1,3410.04,13265.25,-9855.21,3.8900570081289367
435,Anestesia,Categoria C1,2223.12,11458.72,-9235.599999999999,5.154341645975026
462,Anestesia,Categoria C1,2223.12,11266.48,-9043.36,5.067868581093238
473,Anestesia,Categoria C1,3410.04,5262.27,-1852.2300000000005,1.5431695815884858
474,Anestesia,Categoria C1,3410.04,11067.35,-7657.31,3.2455191141452886
475,Anestesia,Categoria C1,2223.12,2257.19,-34.070000000000164,1.0153253085753355
477,Anestesia,Categoria C1,2223.12,4274.62,-2051.5,1.922802187916082
495,Anestesia,Categoria C1,2223.12,17068.54,-14845.420000000002,7.677741192558207
496,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
497,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
519,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
523,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
542,Anestesia,Categoria C1,2223.12,538.08,1685.04,0.24203821656050958
544,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
551,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
553,Anestesia,Categoria C1,3410.04,4352.29,-942.25,1.2763164068456676
573,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
576,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
583,Anestesia,Categoria C1,3410.04,431.25,2978.79,0.126464792201851
631,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
632,Anestesia,Categoria C1,2223.12,2923.09,-699.9700000000003,1.314859296844075
653,Anestesia,Categoria C1,1802.36,0.0,1802.36,0.0
654,Anestesia,Categoria C1,2223.12,2530.12,-307.0,1.1380942099391846
664,Anestesia,Categoria C1,1802.36,6555.110000000001,-4752.750000000001,3.6369593200026635
667,Anestesia,Categoria C1,1802.36,0.0,1802.36,0.0
669,Anestesia,Categoria C1,2223.12,8241.93,-6018.81,3.70737072222822
670,Anestesia,Categoria C1,1802.36,1675.6200000000001,126.73999999999978,0.9296810847999291
683,Anestesia,Categoria C1,1802.36,0.0,1802.36,0.0
685,Anestesia,Categoria C1,2223.12,9005.24,-6782.12,4.050721508510562
714,Anestesia,Categoria C1,1802.36,0.0,1802.36,0.0
716,Anestesia,Categoria C1,2223.12,5137.45,-2914.33,2.3109188887689376
720,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
722,Anestesia,Categoria C1,2223.12,2668.4,-445.2800000000002,1.200295080787362
728,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
732,Anestesia,Categoria C1,2223.12,7005.82,-4782.7,3.1513458562740655
743,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
752,Anestesia,Categoria C1,3410.04,425.82,2984.22,0.12487243551395291
760,Anestesia,Categoria C1,3410.04,0.0,3410.04,0.0
761,Anestesia,Categoria C1,3410.04,876.21,2533.83,0.2569500651018756
763,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
764,Anestesia,Categoria C1,2223.12,0.0,2223.12,0.0
768,Anestesia,Categoria C1,2223.12,2775.3199999999997,-552.1999999999998,1.2483896505811651
778,Anestesia,Categoria C1,3410.04,1687.5,1722.54,0.49486223035506915
801,Anestesia,Categoria C1,1802.36,3213.86,-1411.5000000000002,1.783139883264165
813,Anestesia,Categoria C1,3410.04,8309.32,-4899.28,2.436722149886805
814,Anestesia,Categoria C1,2223.12,846.58,1376.54,0.38080715390982045
816,Anestesia,Categoria C1,1802.36,0.0,1802.36,0.0
